Product name,Original Price,Discount,Price After Discount,Ratings
"Redmi Note 5 (Black, 64 GB)  (4 GB RAM)","₹11,999",22% off,"₹9,309",4.4
"Mi 11X Pro 5G (Cosmic Black, 256 GB)  (8 GB RAM)","₹39,999",22% off,"₹30,980",4
"Redmi 10 Prime (Bifrost Blue, 64 GB)  (4 GB RAM)","₹14,999",26% off,"₹10,999",4.1
"Redmi 7A (Matte Blue, 16 GB)  (2 GB RAM)",N/A,64% off,"₹6,499",4.3
"Mi A1 (Gold, 64 GB)  (4 GB RAM)","₹14,999",2% off,"₹14,599",4.4
"Xiaomi 12 Pro 5G (Couture Blue, 256 GB)  (12 GB RAM)","₹84,999",44% off,"₹46,990",4.1
"Redmi 3S (Gold, 16 GB)  (2 GB RAM)",N/A,64% off,"₹6,999",4.3
"REDMI Note 11T 5G (Stardust White, 64 GB)  (6 GB RAM)","₹18,999",14% off,"₹16,281",4.2
"Mi 11x Pro 5G (Lunar White, 256 GB)  (8 GB RAM)","₹43,000",2% off,"₹41,999",4
"REDMI Note 11T 5G (Stardust White, 128 GB)  (8 GB RAM)","₹22,999",17% off,"₹18,949",4.2
"REDMI Note 11T 5G (Matte black, 64 GB)  (6 GB RAM)",N/A,N/A,"₹15,997",4.2
"Xiaomi 11i Hypercharge 5G (Pacific Pearl, 128 GB)  (6 GB RAM)","₹31,999",15% off,"₹26,999",4.2
"Mi 11X Pro 5G (Lunar White, 256 GB)  (8 GB RAM)",N/A,N/A,"₹34,999",4
"Mi 11X Pro 5G (Celestial Silver, 256 GB)  (8 GB RAM)",N/A,N/A,"₹34,999",4
"Redmi Note 7 Pro (Moonlight White, 128 GB)  (6 GB RAM)",N/A,33% off,"₹17,999",4.5
"Mi 11X (Cosmic Black, 128 GB)  (8 GB RAM)","₹34,999",31% off,"₹23,999",4.2
"Mi 11X (Cosmic Black, 128 GB)  (8 GB RAM)","₹34,999",37% off,"₹21,999",4.2
"Redmi Note 7 Pro (Space Black, 64 GB)  (4 GB RAM)",N/A,30% off,"₹15,999",4.5
"Redmi 4A (Gold, 32 GB)  (3 GB RAM)",N/A,64% off,"₹6,999",4.4
"Redmi Note 5 Pro (Black, 64 GB)  (6 GB RAM)",N/A,30% off,"₹16,999",4.5
"Mi 11X Pro 5G (Celestial Silver, 128 GB)  (8 GB RAM)","₹39,999",28% off,"₹28,429",4
"Redmi K20 Pro (Flame Red, 128 GB)  (6 GB RAM)",N/A,20% off,"₹28,999",4.5
"Redmi K20 Pro (Carbon Black, 256 GB)  (8 GB RAM)",N/A,22% off,"₹31,999",4.5
"REDMI 10 Power (Power Black, 128 GB)  (8 GB RAM)","₹18,999",48% off,"₹9,848",4.2
"REDMI Note 11 Pro (Star Blue, 128 GB)  (8 GB RAM)","₹24,999",32% off,"₹16,919",4.1
"Redmi Go (Black, 16 GB)  (1 GB RAM)",N/A,64% off,"₹5,999",4.3
"Redmi Note 7 (Sapphire Blue, 32 GB)  (3 GB RAM)",N/A,55% off,"₹12,999",4.4
"Redmi K20 (Carbon Black, 128 GB)  (6 GB RAM)",N/A,23% off,"₹24,999",4.5
"Mi 10i (Pacific Sunrise, 128 GB)  (6 GB RAM)","₹24,999",27% off,"₹18,190",4.3
"Mi A1 (Rose Gold, 64 GB)  (4 GB RAM)",N/A,55% off,"₹14,999",4.4
"Redmi 8A (Ocean Blue, 32 GB)  (2 GB RAM)",N/A,50% off,"₹7,999",4.4
"Redmi Note 4 (Black, 32 GB)  (3 GB RAM)","₹10,999",3% off,"₹10,649",4.4
"Redmi Note 4 (Dark Grey, 32 GB)  (3 GB RAM)","₹10,999",3% off,"₹10,649",4.4
"Redmi Note 5 (Black, 32 GB)  (3 GB RAM)",N/A,62% off,"₹10,999",4.4
"Mi 10i (Atlantic Blue, 128 GB)  (8 GB RAM)","₹26,999",28% off,"₹19,390",4.3
"Xiaomi 11i 5G (Pacific Pearl, 128 GB)  (8 GB RAM)","₹31,999",15% off,"₹26,999",4.2
"Redmi 10 Prime (Astral White, 128 GB)  (6 GB RAM)","₹16,999",27% off,"₹12,331",4.2
